Serial_number:,,,,,,
2016717,,,,,,
Project ID:,,,,,,
ESC,,,,,,
Location:,,,,,,
EDC 20,,,,,,
Elevation,Elevation of #153,,,,,
47,396,,,,,
LEVEL,,,,,,
UNIT: kPa,,,,,,
Offset: 0.000000 kPa,,,,,,
TEMPERATURE,,,,,,
UNIT: _C,,,,,,^1.4494*14.164
Date,Time,ms,LEVEL,TEMPERATURE,FEET,NewDepth
12/23/2013,7:37:14,0,102,16.9,-2.800550206,#NUM!
12/23/2013,7:52:14,0,102,16.9,-2.800550206,#NUM!
12/23/2013,8:07:14,0,102,16.9,-2.800550206,#NUM!
12/23/2013,8:22:14,0,102,16.8,-2.800550206,#NUM!
12/23/2013,8:37:14,0,102,16.8,-2.800550206,#NUM!
12/23/2013,8:52:14,0,102,16.8,-2.800550206,#NUM!
12/23/2013,9:07:14,0,102,16.8,-2.800550206,#NUM!
12/23/2013,9:22:14,0,102,16.7,-2.800550206,#NUM!
12/23/2013,9:37:14,0,102,16.7,-2.800550206,#NUM!
12/23/2013,9:52:14,0,102,16.7,-2.800550206,#NUM!
12/23/2013,10:07:14,0,102,16.7,-2.800550206,#NUM!
12/23/2013,10:22:14,0,102,16.7,-2.800550206,#NUM!
12/23/2013,10:37:14,0,102,16.7,-2.800550206,#NUM!
12/23/2013,10:52:14,0,102,16.7,-2.800550206,#NUM!
12/23/2013,11:07:14,0,102,16.7,-2.800550206,#NUM!
12/23/2013,11:22:14,0,102,16.7,-2.800550206,#NUM!
12/23/2013,11:37:14,0,102,16.7,-2.800550206,#NUM!
12/23/2013,11:52:14,0,102,16.7,-2.800550206,#NUM!
12/23/2013,12:07:14,0,102,16.7,-2.800550206,#NUM!
12/23/2013,12:22:14,0,102,16.7,-2.800550206,#NUM!
12/23/2013,12:37:14,0,102,16.7,-2.800550206,#NUM!
12/23/2013,12:52:14,0,102,16.7,-2.800550206,#NUM!
12/23/2013,13:07:14,0,102,16.7,-2.800550206,#NUM!
12/23/2013,13:22:14,0,102,16.7,-2.800550206,#NUM!
12/23/2013,13:37:14,0,102,16.7,-2.800550206,#NUM!
12/23/2013,13:52:14,0,102,16.7,-2.800550206,#NUM!
12/23/2013,14:07:14,0,102,16.8,-2.800550206,#NUM!
12/23/2013,14:22:14,0,102,16.8,-2.800550206,#NUM!
12/23/2013,14:37:14,0,102,16.8,-2.800550206,#NUM!
12/23/2013,14:52:14,0,102,16.8,-2.800550206,#NUM!
12/23/2013,15:07:14,0,102,16.9,-2.800550206,#NUM!
12/23/2013,15:22:14,0,102,16.9,-2.800550206,#NUM!
12/23/2013,15:37:14,0,102,16.9,-2.800550206,#NUM!
12/23/2013,15:52:14,0,102,17,-2.800550206,#NUM!
12/23/2013,16:07:14,0,102,17,-2.800550206,#NUM!
12/23/2013,16:22:14,0,102,17,-2.800550206,#NUM!
12/23/2013,16:37:14,0,102,17.1,-2.800550206,#NUM!
12/23/2013,16:52:14,0,102,17.1,-2.800550206,#NUM!
12/23/2013,17:07:14,0,102,17.1,-2.800550206,#NUM!
12/23/2013,17:22:14,0,102,17.2,-2.800550206,#NUM!
12/23/2013,17:37:14,0,102,17.2,-2.800550206,#NUM!
12/23/2013,17:52:14,0,102,17.2,-2.800550206,#NUM!
12/23/2013,18:07:14,0,102,17.3,-2.800550206,#NUM!
12/23/2013,18:22:14,0,102,17.3,-2.800550206,#NUM!
12/23/2013,18:37:14,0,102,17.3,-2.800550206,#NUM!
12/23/2013,18:52:14,0,102,17.3,-2.800550206,#NUM!
12/23/2013,19:07:14,0,102,17.4,-2.800550206,#NUM!
12/23/2013,19:22:14,0,102,17.4,-2.800550206,#NUM!
12/23/2013,19:37:14,0,102,17.4,-2.800550206,#NUM!
12/23/2013,19:52:14,0,102,17.4,-2.800550206,#NUM!
12/23/2013,20:07:14,0,102,17.4,-2.800550206,#NUM!
12/23/2013,20:22:14,0,102,17.4,-2.800550206,#NUM!
12/23/2013,20:37:14,0,102,17.5,-2.800550206,#NUM!
12/23/2013,20:52:14,0,102,17.5,-2.800550206,#NUM!
12/23/2013,21:07:14,0,102,17.5,-2.800550206,#NUM!
12/23/2013,21:22:14,0,102,17.5,-2.800550206,#NUM!
12/23/2013,21:37:14,0,102,17.5,-2.800550206,#NUM!
12/23/2013,21:52:14,0,102,17.5,-2.800550206,#NUM!
12/23/2013,22:07:14,0,102,17.5,-2.800550206,#NUM!
12/23/2013,22:22:14,0,102,17.5,-2.800550206,#NUM!
12/23/2013,22:37:14,0,102,17.5,-2.800550206,#NUM!
12/23/2013,22:52:14,0,102,17.5,-2.800550206,#NUM!
12/23/2013,23:07:14,0,102,17.5,-2.800550206,#NUM!
12/23/2013,23:22:14,0,102,17.5,-2.800550206,#NUM!
12/23/2013,23:37:14,0,102,17.5,-2.800550206,#NUM!
12/23/2013,23:52:14,0,102,17.5,-2.800550206,#NUM!
12/24/2013,0:07:14,0,102,17.5,-2.800550206,#NUM!
12/24/2013,0:22:14,0,102,17.5,-2.800550206,#NUM!
12/24/2013,0:37:14,0,102,17.5,-2.800550206,#NUM!
12/24/2013,0:52:14,0,102,17.5,-2.800550206,#NUM!
12/24/2013,1:07:14,0,102,17.4,-2.800550206,#NUM!
12/24/2013,1:22:14,0,102,17.4,-2.800550206,#NUM!
12/24/2013,1:37:14,0,102,17.4,-2.800550206,#NUM!
12/24/2013,1:52:14,0,102,17.4,-2.800550206,#NUM!
12/24/2013,2:07:14,0,102,17.4,-2.800550206,#NUM!
12/24/2013,2:22:14,0,102,17.4,-2.800550206,#NUM!
12/24/2013,2:37:14,0,102,17.3,-2.800550206,#NUM!
12/24/2013,2:52:14,0,102,17.3,-2.800550206,#NUM!
12/24/2013,3:07:14,0,102,17.3,-2.800550206,#NUM!
12/24/2013,3:22:14,0,102,17.3,-2.800550206,#NUM!
12/24/2013,3:37:14,0,102,17.3,-2.800550206,#NUM!
12/24/2013,3:52:14,0,102,17.2,-2.800550206,#NUM!
12/24/2013,4:07:14,0,102,17.2,-2.800550206,#NUM!
12/24/2013,4:22:14,0,102,17.2,-2.800550206,#NUM!
12/24/2013,4:37:14,0,102,17.2,-2.800550206,#NUM!
12/24/2013,4:52:14,0,102,17.1,-2.800550206,#NUM!
12/24/2013,5:07:14,0,102,17.1,-2.800550206,#NUM!
12/24/2013,5:22:14,0,102,17.1,-2.800550206,#NUM!
12/24/2013,5:37:14,0,102,17,-2.800550206,#NUM!
12/24/2013,5:52:14,0,102,17,-2.800550206,#NUM!
12/24/2013,6:07:14,0,102,17,-2.800550206,#NUM!
12/24/2013,6:22:14,0,102,17,-2.800550206,#NUM!
12/24/2013,6:37:14,0,102,16.9,-2.800550206,#NUM!
12/24/2013,6:52:14,0,102,16.9,-2.800550206,#NUM!
12/24/2013,7:07:14,0,102,16.9,-2.800550206,#NUM!
12/24/2013,7:22:14,0,102,16.9,-2.800550206,#NUM!
12/24/2013,7:37:14,0,102,16.8,-2.800550206,#NUM!
12/24/2013,7:52:14,0,102,16.8,-2.800550206,#NUM!
12/24/2013,8:07:14,0,102,16.8,-2.800550206,#NUM!
12/24/2013,8:22:14,0,102,16.7,-2.800550206,#NUM!
12/24/2013,8:37:14,0,102,16.7,-2.800550206,#NUM!
12/24/2013,8:52:14,0,102,16.7,-2.800550206,#NUM!
12/24/2013,9:07:14,0,102,16.7,-2.800550206,#NUM!
12/24/2013,9:22:14,0,102,16.6,-2.800550206,#NUM!
12/24/2013,9:37:14,0,102,16.6,-2.800550206,#NUM!
12/24/2013,9:52:14,0,102,16.6,-2.800550206,#NUM!
12/24/2013,10:07:14,0,102,16.6,-2.800550206,#NUM!
12/24/2013,10:22:14,0,102,16.6,-2.800550206,#NUM!
12/24/2013,10:37:14,0,102,16.6,-2.800550206,#NUM!
12/24/2013,10:52:14,0,102,16.6,-2.800550206,#NUM!
12/24/2013,11:07:14,0,102,16.6,-2.800550206,#NUM!
12/24/2013,11:22:14,0,102,16.6,-2.800550206,#NUM!
12/24/2013,11:37:14,0,102,16.6,-2.800550206,#NUM!
12/24/2013,11:52:14,0,102,16.6,-2.800550206,#NUM!
12/24/2013,12:07:14,0,102,16.6,-2.800550206,#NUM!
12/24/2013,12:22:14,0,102,16.6,-2.800550206,#NUM!
12/24/2013,12:37:14,0,102,16.6,-2.800550206,#NUM!
12/24/2013,12:52:14,0,102,16.6,-2.800550206,#NUM!
12/24/2013,13:07:14,0,102,16.6,-2.800550206,#NUM!
12/24/2013,13:22:14,0,102,16.6,-2.800550206,#NUM!
12/24/2013,13:37:14,0,102,16.7,-2.800550206,#NUM!
12/24/2013,13:52:14,0,102,16.7,-2.800550206,#NUM!
12/24/2013,14:07:14,0,102,16.7,-2.800550206,#NUM!
12/24/2013,14:22:14,0,102,16.7,-2.800550206,#NUM!
12/24/2013,14:37:14,0,102,16.8,-2.800550206,#NUM!
12/24/2013,14:52:14,0,102,16.8,-2.800550206,#NUM!
12/24/2013,15:07:14,0,102,16.8,-2.800550206,#NUM!
12/24/2013,15:22:14,0,102,16.9,-2.800550206,#NUM!
12/24/2013,15:37:14,0,102,16.9,-2.800550206,#NUM!
12/24/2013,15:52:14,0,102,16.9,-2.800550206,#NUM!
12/24/2013,16:07:14,0,102,17,-2.800550206,#NUM!
12/24/2013,16:22:14,0,102,17,-2.800550206,#NUM!
12/24/2013,16:37:14,0,102,17,-2.800550206,#NUM!
12/24/2013,16:52:14,0,102,17.1,-2.800550206,#NUM!
12/24/2013,17:07:14,0,102,17.1,-2.800550206,#NUM!
12/24/2013,17:22:14,0,102,17.2,-2.800550206,#NUM!
12/24/2013,17:37:14,0,102,17.2,-2.800550206,#NUM!
12/24/2013,17:52:14,0,102,17.2,-2.800550206,#NUM!
12/24/2013,18:07:14,0,102,17.3,-2.800550206,#NUM!
12/24/2013,18:22:14,0,102,17.3,-2.800550206,#NUM!
12/24/2013,18:37:14,0,102,17.3,-2.800550206,#NUM!
12/24/2013,18:52:14,0,102,17.4,-2.800550206,#NUM!
12/24/2013,19:07:14,0,102,17.4,-2.800550206,#NUM!
12/24/2013,19:22:14,0,102,17.4,-2.800550206,#NUM!
12/24/2013,19:37:14,0,102,17.5,-2.800550206,#NUM!
12/24/2013,19:52:14,0,102,17.5,-2.800550206,#NUM!
12/24/2013,20:07:14,0,102,17.5,-2.800550206,#NUM!
12/24/2013,20:22:14,0,102,17.5,-2.800550206,#NUM!
12/24/2013,20:37:14,0,102,17.5,-2.800550206,#NUM!
12/24/2013,20:52:14,0,102,17.6,-2.800550206,#NUM!
12/24/2013,21:07:14,0,102,17.6,-2.800550206,#NUM!
12/24/2013,21:22:14,0,102,17.6,-2.800550206,#NUM!
12/24/2013,21:37:14,0,102,17.6,-2.800550206,#NUM!
12/24/2013,21:52:14,0,102,17.6,-2.800550206,#NUM!
12/24/2013,22:07:14,0,102,17.6,-2.800550206,#NUM!
12/24/2013,22:22:14,0,102,17.6,-2.800550206,#NUM!
12/24/2013,22:37:14,0,102,17.6,-2.800550206,#NUM!
12/24/2013,22:52:14,0,102,17.6,-2.800550206,#NUM!
12/24/2013,23:07:14,0,102,17.6,-2.800550206,#NUM!
12/24/2013,23:22:14,0,102,17.6,-2.800550206,#NUM!
12/24/2013,23:37:14,0,102,17.6,-2.800550206,#NUM!
12/24/2013,23:52:14,0,102,17.6,-2.800550206,#NUM!
12/25/2013,0:07:14,0,102,17.6,-2.800550206,#NUM!
12/25/2013,0:22:14,0,102,17.6,-2.800550206,#NUM!
12/25/2013,0:37:14,0,102,17.6,-2.800550206,#NUM!
12/25/2013,0:52:14,0,102,17.6,-2.800550206,#NUM!
12/25/2013,1:07:14,0,102,17.6,-2.800550206,#NUM!
12/25/2013,1:22:14,0,102,17.6,-2.800550206,#NUM!
12/25/2013,1:37:14,0,102,17.5,-2.800550206,#NUM!
12/25/2013,1:52:14,0,102,17.5,-2.800550206,#NUM!
12/25/2013,2:07:14,0,102,17.5,-2.800550206,#NUM!
12/25/2013,2:22:14,0,102,17.5,-2.800550206,#NUM!
12/25/2013,2:37:14,0,102,17.5,-2.800550206,#NUM!
12/25/2013,2:52:14,0,102,17.5,-2.800550206,#NUM!
12/25/2013,3:07:14,0,102,17.4,-2.800550206,#NUM!
12/25/2013,3:22:14,0,102,17.4,-2.800550206,#NUM!
12/25/2013,3:37:14,0,102,17.4,-2.800550206,#NUM!
12/25/2013,3:52:14,0,102,17.4,-2.800550206,#NUM!
12/25/2013,4:07:14,0,102,17.4,-2.800550206,#NUM!
12/25/2013,4:22:14,0,102,17.3,-2.800550206,#NUM!
12/25/2013,4:37:14,0,102,17.3,-2.800550206,#NUM!
12/25/2013,4:52:14,0,102,17.3,-2.800550206,#NUM!
12/25/2013,5:07:14,0,102,17.3,-2.800550206,#NUM!
12/25/2013,5:22:14,0,102,17.2,-2.800550206,#NUM!
12/25/2013,5:37:14,0,102,17.2,-2.800550206,#NUM!
12/25/2013,5:52:14,0,102,17.2,-2.800550206,#NUM!
12/25/2013,6:07:14,0,102,17.2,-2.800550206,#NUM!
12/25/2013,6:22:14,0,102,17.1,-2.800550206,#NUM!
12/25/2013,6:37:14,0,102,17.1,-2.800550206,#NUM!
12/25/2013,6:52:14,0,102,17.1,-2.800550206,#NUM!
12/25/2013,7:07:14,0,102,17.1,-2.800550206,#NUM!
12/25/2013,7:22:14,0,102,17,-2.800550206,#NUM!
12/25/2013,7:37:14,0,102,17,-2.800550206,#NUM!
12/25/2013,7:52:14,0,102,17,-2.800550206,#NUM!
12/25/2013,8:07:14,0,102,17,-2.800550206,#NUM!
12/25/2013,8:22:14,0,102,16.9,-2.800550206,#NUM!
12/25/2013,8:37:14,0,102,16.9,-2.800550206,#NUM!
12/25/2013,8:52:14,0,102,16.9,-2.800550206,#NUM!
12/25/2013,9:07:14,0,102,16.9,-2.800550206,#NUM!
12/25/2013,9:22:14,0,102,16.8,-2.800550206,#NUM!
12/25/2013,9:37:14,0,102,16.8,-2.800550206,#NUM!
12/25/2013,9:52:14,0,102,16.8,-2.800550206,#NUM!
12/25/2013,10:07:14,0,102,16.8,-2.800550206,#NUM!
12/25/2013,10:22:14,0,102,16.8,-2.800550206,#NUM!
12/25/2013,10:37:14,0,102,16.8,-2.800550206,#NUM!
12/25/2013,10:52:14,0,102,16.8,-2.800550206,#NUM!
12/25/2013,11:07:14,0,102,16.8,-2.800550206,#NUM!
12/25/2013,11:22:14,0,102,16.8,-2.800550206,#NUM!
12/25/2013,11:37:14,0,102,16.8,-2.800550206,#NUM!
12/25/2013,11:52:14,0,102,16.8,-2.800550206,#NUM!
12/25/2013,12:07:14,0,102,16.8,-2.800550206,#NUM!
12/25/2013,12:22:14,0,102,16.8,-2.800550206,#NUM!
12/25/2013,12:37:14,0,102,16.8,-2.800550206,#NUM!
12/25/2013,12:52:14,0,102,16.8,-2.800550206,#NUM!
12/25/2013,13:07:14,0,102,16.8,-2.800550206,#NUM!
12/25/2013,13:22:14,0,102,16.8,-2.800550206,#NUM!
12/25/2013,13:37:14,0,102,16.9,-2.800550206,#NUM!
12/25/2013,13:52:14,0,102,16.9,-2.800550206,#NUM!
12/25/2013,14:07:14,0,102,16.9,-2.800550206,#NUM!
12/25/2013,14:22:14,0,102,16.9,-2.800550206,#NUM!
12/25/2013,14:37:14,0,102,17,-2.800550206,#NUM!
12/25/2013,14:52:14,0,102,17,-2.800550206,#NUM!
12/25/2013,15:07:14,0,102,17,-2.800550206,#NUM!
12/25/2013,15:22:14,0,102,17.1,-2.800550206,#NUM!
12/25/2013,15:37:14,0,102,17.1,-2.800550206,#NUM!
12/25/2013,15:52:14,0,102,17.1,-2.800550206,#NUM!
12/25/2013,16:07:14,0,102,17.2,-2.800550206,#NUM!
12/25/2013,16:22:14,0,102,17.2,-2.800550206,#NUM!
12/25/2013,16:37:14,0,102,17.3,-2.800550206,#NUM!
12/25/2013,16:52:14,0,102,17.3,-2.800550206,#NUM!
12/25/2013,17:07:14,0,102,17.3,-2.800550206,#NUM!
12/25/2013,17:22:14,0,102,17.4,-2.800550206,#NUM!
12/25/2013,17:37:14,0,102,17.4,-2.800550206,#NUM!
12/25/2013,17:52:14,0,102,17.5,-2.800550206,#NUM!
12/25/2013,18:07:14,0,102,17.5,-2.800550206,#NUM!
12/25/2013,18:22:14,0,102,17.5,-2.800550206,#NUM!
12/25/2013,18:37:14,0,102,17.6,-2.800550206,#NUM!
12/25/2013,18:52:14,0,102,17.6,-2.800550206,#NUM!
12/25/2013,19:07:14,0,102,17.6,-2.800550206,#NUM!
12/25/2013,19:22:14,0,102,17.6,-2.800550206,#NUM!
12/25/2013,19:37:14,0,102,17.7,-2.800550206,#NUM!
12/25/2013,19:52:14,0,102,17.7,-2.800550206,#NUM!
12/25/2013,20:07:14,0,102,17.7,-2.800550206,#NUM!
12/25/2013,20:22:14,0,102,17.7,-2.800550206,#NUM!
12/25/2013,20:37:14,0,102,17.7,-2.800550206,#NUM!
12/25/2013,20:52:14,0,102,17.7,-2.800550206,#NUM!
12/25/2013,21:07:14,0,102,17.8,-2.800550206,#NUM!
12/25/2013,21:22:14,0,102,17.8,-2.800550206,#NUM!
12/25/2013,21:37:14,0,102,17.8,-2.800550206,#NUM!
12/25/2013,21:52:14,0,102,17.8,-2.800550206,#NUM!
12/25/2013,22:07:14,0,102,17.8,-2.800550206,#NUM!
12/25/2013,22:22:14,0,102,17.8,-2.800550206,#NUM!
12/25/2013,22:37:14,0,102,17.8,-2.800550206,#NUM!
12/25/2013,22:52:14,0,102,17.8,-2.800550206,#NUM!
12/25/2013,23:07:14,0,102,17.7,-2.800550206,#NUM!
12/25/2013,23:22:14,0,102,17.7,-2.800550206,#NUM!
12/25/2013,23:37:14,0,102,17.7,-2.800550206,#NUM!
12/25/2013,23:52:14,0,102,17.7,-2.800550206,#NUM!
12/26/2013,0:07:14,0,102,17.7,-2.800550206,#NUM!
12/26/2013,0:22:14,0,102,17.7,-2.800550206,#NUM!
12/26/2013,0:37:14,0,102,17.7,-2.800550206,#NUM!
12/26/2013,0:52:14,0,102,17.7,-2.800550206,#NUM!
12/26/2013,1:07:14,0,102,17.6,-2.800550206,#NUM!
12/26/2013,1:22:14,0,102,17.6,-2.800550206,#NUM!
12/26/2013,1:37:14,0,102,17.6,-2.800550206,#NUM!
12/26/2013,1:52:14,0,102,17.6,-2.800550206,#NUM!
12/26/2013,2:07:14,0,102,17.6,-2.800550206,#NUM!
12/26/2013,2:22:14,0,102,17.5,-2.800550206,#NUM!
12/26/2013,2:37:14,0,102,17.5,-2.800550206,#NUM!
12/26/2013,2:52:14,0,102,17.5,-2.800550206,#NUM!
12/26/2013,3:07:14,0,102,17.4,-2.800550206,#NUM!
12/26/2013,3:22:14,0,102,17.4,-2.800550206,#NUM!
12/26/2013,3:37:14,0,102,17.4,-2.800550206,#NUM!
12/26/2013,3:52:14,0,102,17.4,-2.800550206,#NUM!
12/26/2013,4:07:14,0,102,17.3,-2.800550206,#NUM!
12/26/2013,4:22:14,0,102,17.3,-2.800550206,#NUM!
12/26/2013,4:37:14,0,102,17.3,-2.800550206,#NUM!
12/26/2013,4:52:14,0,102,17.2,-2.800550206,#NUM!
12/26/2013,5:07:14,0,102,17.2,-2.800550206,#NUM!
12/26/2013,5:22:14,0,102,17.2,-2.800550206,#NUM!
12/26/2013,5:37:14,0,102,17.1,-2.800550206,#NUM!
12/26/2013,5:52:14,0,102,17.1,-2.800550206,#NUM!
12/26/2013,6:07:14,0,102,17,-2.800550206,#NUM!
12/26/2013,6:22:14,0,102,17,-2.800550206,#NUM!
12/26/2013,6:37:14,0,102,17,-2.800550206,#NUM!
12/26/2013,6:52:14,0,102,16.9,-2.800550206,#NUM!
12/26/2013,7:07:14,0,102,16.9,-2.800550206,#NUM!
12/26/2013,7:22:14,0,102,16.9,-2.800550206,#NUM!
12/26/2013,7:37:14,0,102,16.8,-2.800550206,#NUM!
12/26/2013,7:52:14,0,102,16.8,-2.800550206,#NUM!
12/26/2013,8:07:14,0,102,16.8,-2.800550206,#NUM!
12/26/2013,8:22:14,0,102,16.7,-2.800550206,#NUM!
12/26/2013,8:37:14,0,102,16.7,-2.800550206,#NUM!
12/26/2013,8:52:14,0,102,16.7,-2.800550206,#NUM!
12/26/2013,9:07:14,0,102,16.6,-2.800550206,#NUM!
12/26/2013,9:22:14,0,102,16.6,-2.800550206,#NUM!
12/26/2013,9:37:14,0,102,16.6,-2.800550206,#NUM!
12/26/2013,9:52:14,0,102,16.5,-2.800550206,#NUM!
12/26/2013,10:07:14,0,102,16.5,-2.800550206,#NUM!
12/26/2013,10:22:14,0,102,16.5,-2.800550206,#NUM!
12/26/2013,10:37:14,0,102,16.5,-2.800550206,#NUM!
12/26/2013,10:52:14,0,102,16.5,-2.800550206,#NUM!
12/26/2013,11:07:14,0,102,16.5,-2.800550206,#NUM!
12/26/2013,11:22:14,0,102,16.5,-2.800550206,#NUM!
12/26/2013,11:37:14,0,102,16.5,-2.800550206,#NUM!
12/26/2013,11:52:14,0,102,16.5,-2.800550206,#NUM!
12/26/2013,12:07:14,0,102,16.5,-2.800550206,#NUM!
12/26/2013,12:22:14,0,102,16.5,-2.800550206,#NUM!
12/26/2013,12:37:14,0,102,16.5,-2.800550206,#NUM!
12/26/2013,12:52:14,0,102,16.5,-2.800550206,#NUM!
12/26/2013,13:07:14,0,102,16.5,-2.800550206,#NUM!
12/26/2013,13:22:14,0,102,16.5,-2.800550206,#NUM!
12/26/2013,13:37:14,0,102,16.6,-2.800550206,#NUM!
12/26/2013,13:52:14,0,102,16.6,-2.800550206,#NUM!
12/26/2013,14:07:14,0,102,16.6,-2.800550206,#NUM!
12/26/2013,14:22:14,0,102,16.6,-2.800550206,#NUM!
12/26/2013,14:37:14,0,102,16.7,-2.800550206,#NUM!
12/26/2013,14:52:14,0,102,16.7,-2.800550206,#NUM!
12/26/2013,15:07:14,0,102,16.7,-2.800550206,#NUM!
12/26/2013,15:22:14,0,102,16.8,-2.800550206,#NUM!
12/26/2013,15:37:14,0,102,16.9,-2.800550206,#NUM!
12/26/2013,15:52:14,0,102,17,-2.800550206,#NUM!
12/26/2013,16:07:14,0,102,17.1,-2.800550206,#NUM!
12/26/2013,16:22:14,0,102,17.2,-2.800550206,#NUM!
12/26/2013,16:37:14,0,102,17.2,-2.800550206,#NUM!
12/26/2013,16:52:14,0,102,17.3,-2.800550206,#NUM!
12/26/2013,17:07:14,0,102,17.4,-2.800550206,#NUM!
12/26/2013,17:22:14,0,102,17.5,-2.800550206,#NUM!
12/26/2013,17:37:14,0,102,17.5,-2.800550206,#NUM!
12/26/2013,17:52:14,0,102,17.6,-2.800550206,#NUM!
12/26/2013,18:07:14,0,102,17.6,-2.800550206,#NUM!
12/26/2013,18:22:14,0,102,17.7,-2.800550206,#NUM!
12/26/2013,18:37:14,0,102,17.7,-2.800550206,#NUM!
12/26/2013,18:52:14,0,102,17.8,-2.800550206,#NUM!
12/26/2013,19:07:14,0,102,17.8,-2.800550206,#NUM!
12/26/2013,19:22:14,0,102,17.9,-2.800550206,#NUM!
12/26/2013,19:37:14,0,102,17.9,-2.800550206,#NUM!
12/26/2013,19:52:14,0,102,17.9,-2.800550206,#NUM!
12/26/2013,20:07:14,0,102,18,-2.800550206,#NUM!
12/26/2013,20:22:14,0,102,18,-2.800550206,#NUM!
12/26/2013,20:37:14,0,102,18,-2.800550206,#NUM!
12/26/2013,20:52:14,0,102,18,-2.800550206,#NUM!
12/26/2013,21:07:14,0,102,18.1,-2.800550206,#NUM!
12/26/2013,21:22:14,0,102,18.1,-2.800550206,#NUM!
12/26/2013,21:37:14,0,102,18.1,-2.800550206,#NUM!
12/26/2013,21:52:14,0,102,18.1,-2.800550206,#NUM!
12/26/2013,22:07:14,0,102,18.1,-2.800550206,#NUM!
12/26/2013,22:22:14,0,102,18.1,-2.800550206,#NUM!
12/26/2013,22:37:14,0,102,18.1,-2.800550206,#NUM!
12/26/2013,22:52:14,0,102,18.1,-2.800550206,#NUM!
12/26/2013,23:07:14,0,102,18.1,-2.800550206,#NUM!
12/26/2013,23:22:14,0,102,18.1,-2.800550206,#NUM!
12/26/2013,23:37:14,0,102,18.1,-2.800550206,#NUM!
12/26/2013,23:52:14,0,102,18.1,-2.800550206,#NUM!
12/27/2013,0:07:14,0,102,18.1,-2.800550206,#NUM!
12/27/2013,0:22:14,0,102,18.1,-2.800550206,#NUM!
12/27/2013,0:37:14,0,102,18.1,-2.800550206,#NUM!
12/27/2013,0:52:14,0,102,18.1,-2.800550206,#NUM!
12/27/2013,1:07:14,0,102,18.1,-2.800550206,#NUM!
12/27/2013,1:22:14,0,102,18.1,-2.800550206,#NUM!
12/27/2013,1:37:14,0,102,18.1,-2.800550206,#NUM!
12/27/2013,1:52:14,0,102,18.1,-2.800550206,#NUM!
12/27/2013,2:07:14,0,102,18,-2.800550206,#NUM!
12/27/2013,2:22:14,0,102,18,-2.800550206,#NUM!
12/27/2013,2:37:14,0,102,18,-2.800550206,#NUM!
12/27/2013,2:52:14,0,102,18,-2.800550206,#NUM!
12/27/2013,3:07:14,0,102,18,-2.800550206,#NUM!
12/27/2013,3:22:14,0,102,18,-2.800550206,#NUM!
12/27/2013,3:37:14,0,102,17.9,-2.800550206,#NUM!
12/27/2013,3:52:14,0,102,17.9,-2.800550206,#NUM!
12/27/2013,4:07:14,0,102,17.9,-2.800550206,#NUM!
12/27/2013,4:22:14,0,102,17.9,-2.800550206,#NUM!
12/27/2013,4:37:14,0,102,17.9,-2.800550206,#NUM!
12/27/2013,4:52:14,0,102,17.8,-2.800550206,#NUM!
12/27/2013,5:07:14,0,102,17.8,-2.800550206,#NUM!
12/27/2013,5:22:14,0,102,17.8,-2.800550206,#NUM!
12/27/2013,5:37:14,0,102,17.8,-2.800550206,#NUM!
12/27/2013,5:52:14,0,102,17.7,-2.800550206,#NUM!
12/27/2013,6:07:14,0,102,17.7,-2.800550206,#NUM!
12/27/2013,6:22:14,0,102,17.7,-2.800550206,#NUM!
12/27/2013,6:37:14,0,102,17.7,-2.800550206,#NUM!
12/27/2013,6:52:14,0,102,17.6,-2.800550206,#NUM!
12/27/2013,7:07:14,0,102,17.6,-2.800550206,#NUM!
12/27/2013,7:22:14,0,102,17.6,-2.800550206,#NUM!
12/27/2013,7:37:14,0,102,17.6,-2.800550206,#NUM!
12/27/2013,7:52:14,0,102,17.5,-2.800550206,#NUM!
12/27/2013,8:07:14,0,102,17.5,-2.800550206,#NUM!
12/27/2013,8:22:14,0,102,17.5,-2.800550206,#NUM!
12/27/2013,8:37:14,0,102,17.5,-2.800550206,#NUM!
12/27/2013,8:52:14,0,102,17.5,-2.800550206,#NUM!
12/27/2013,9:07:14,0,102,17.4,-2.800550206,#NUM!
12/27/2013,9:22:14,0,102,17.4,-2.800550206,#NUM!
12/27/2013,9:37:14,0,102,17.4,-2.800550206,#NUM!
12/27/2013,9:52:14,0,102,17.4,-2.800550206,#NUM!
12/27/2013,10:07:14,0,102,17.4,-2.800550206,#NUM!
12/27/2013,10:22:14,0,102,17.4,-2.800550206,#NUM!
12/27/2013,10:37:14,0,102,17.4,-2.800550206,#NUM!
12/27/2013,10:52:14,0,102,17.4,-2.800550206,#NUM!
12/27/2013,11:07:14,0,102,17.4,-2.800550206,#NUM!
12/27/2013,11:22:14,0,102,17.4,-2.800550206,#NUM!
12/27/2013,11:37:14,0,102,17.4,-2.800550206,#NUM!
12/27/2013,11:52:14,0,102,17.4,-2.800550206,#NUM!
12/27/2013,12:07:14,0,102,17.4,-2.800550206,#NUM!
12/27/2013,12:22:14,0,102,17.4,-2.800550206,#NUM!
12/27/2013,12:37:14,0,102,17.4,-2.800550206,#NUM!
12/27/2013,12:52:14,0,102,17.4,-2.800550206,#NUM!
12/27/2013,13:07:14,0,102,17.4,-2.800550206,#NUM!
